rank,lpn_id,gender,dob,score,BWT_value,BWT_accuracy,BWT_contribution,WWT_value,WWT_accuracy,WWT_contribution,YWT_value,YWT_accuracy,YWT_contribution,PWWT_value,PWWT_accuracy,PWWT_contribution,NLB_value,NLB_accuracy,NLB_contribution
1,6401492025FLE087,Female,3/2/2025,11.91,0.354,63,-0.223,3.072,61,3.748,5.728,53,4.554,5.888,64,3.768,0.133,44,0.059
2,6401492020FLE249,Female,2/5/2020,11.05,0.244,74,-0.181,3.051,71,4.332,3.625,63,3.426,4.659,73,3.401,0.118,58,0.068
3,6401492025FLE047,Female,2/24/2025,9.90,0.432,59,-0.255,2.951,57,3.364,5.056,49,3.716,5.094,60,3.056,0.042,36,0.015
4,6401492025FLE024,Female,2/20/2025,9.44,0.473,60,-0.284,2.842,58,3.297,4.615,49,3.392,4.990,60,2.994,0.126,36,0.045
5,6401492025FLE008,Female,2/16/2025,8.98,0.169,62,-0.105,2.726,61,3.326,3.593,53,2.856,4.490,63,2.829,0.164,44,0.072
6,6401492025FLE082,Female,2/28/2025,9.99,0.334,65,-0.217,2.702,63,3.405,4.410,55,3.638,4.796,65,3.117,0.113,45,0.051
7,6401492025FLE011,Female,2/17/2025,6.49,0.001,61,-0.001,2.193,59,2.588,2.191,52,1.709,3.460,61,2.111,0.175,45,0.079
8,6401492025FLE029,Female,2/21/2025,7.31,0.177,58,-0.103,2.129,56,2.384,3.581,49,2.632,3.976,59,2.346,0.112,41,0.046
9,6401492023FLE078,Female,2/21/2023,3.30,0.306,64,-0.196,1.620,62,2.009,0.677,52,0.528,1.615,61,0.985,-0.052,50,-0.026
10,6401492025FLE141,Male,2/24/2025,4.33,0.264,61,-0.161,1.269,59,1.497,2.208,47,1.557,2.490,58,1.444,-0.016,38,-0.006
11,6402382024NCS310,Male,2/13/2024,4.37,-0.235,80,0.188,1.214,78,1.894,0.796,68,0.812,1.764,81,1.429,0.092,55,0.051
12,6401492022FLE002,Female,1/23/2022,-1.56,-0.176,66,0.116,-0.014,64,-0.018,-1.324,55,-1.092,-0.900,66,-0.594,0.060,50,0.030
