category,field,value
event,issue_number,28
event,lambing_date,2026-04-17
event,dam_lpn,6401492023FLE078
event,sire_lpn,6401492025FLE141
event,number_born,2
event,number_born_alive,2
event,survival_rate_pct,100
event,lamb_details,"ram: EPC006; ewe: EPC007"
event,lambing_ease,None
event,notes,
inbreeding,coi,0.1875
inbreeding,coi_pct,18.75
inbreeding,rating,Red
inbreeding,shared_ancestor,6401492018DRW522
dam,breed,Katahdin
dam,dob,2023-02-21
dam,status,CURRENT
dam,flock,Beyond Blessed Farm
dam,total_progeny_before_event,0
dam,us_index,100.10
dam,src_index,105.48
dam,BWT,0.314
dam,BWT_accuracy,64
dam,BWT_percentile,55
dam,WWT,1.646
dam,WWT_accuracy,62
dam,WWT_percentile,51
dam,PWWT,1.642
dam,PWWT_accuracy,61
dam,PWWT_percentile,53
dam,YWT,0.684
dam,YWT_accuracy,52
dam,YWT_percentile,52
dam,NLB,-0.051
dam,NLB_accuracy,50
dam,NLB_percentile,29
sire,breed,Katahdin
sire,dob,2025-02-24
sire,status,CURRENT
sire,flock,Beyond Blessed Farm
sire,total_progeny_before_event,0
sire,us_index,101.85
sire,src_index,114.18
sire,BWT,0.270
sire,BWT_accuracy,61
sire,BWT_percentile,54
sire,WWT,1.291
sire,WWT_accuracy,59
sire,WWT_percentile,47
sire,PWWT,2.516
sire,PWWT_accuracy,58
sire,PWWT_percentile,58
sire,YWT,2.219
sire,YWT_accuracy,47
sire,YWT_percentile,59
sire,NLB,-0.016
sire,NLB_accuracy,38
sire,NLB_percentile,33
predicted_offspring,BWT,0.292
predicted_offspring,WWT,1.469
predicted_offspring,PWWT,2.079
predicted_offspring,YWT,1.452
predicted_offspring,NLB,-0.034
breed_range,BWT_min,-0.944
breed_range,BWT_max,1.300
breed_range,WWT_min,-3.019
breed_range,WWT_max,6.190
breed_range,PWWT_min,-7.105
breed_range,PWWT_max,9.434
breed_range,YWT_min,-9.533
breed_range,YWT_max,10.273
breed_range,NLB_min,-0.361
breed_range,NLB_max,0.690
